date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-04-15,RS,Estrela Velha,city,145,3,True,3650,4307815,3972.60274,0.0207
2021-04-15,RS,Eugênio de Castro,city,192,5,True,2352,4307831,8163.26531,0.026
2021-04-15,RS,Fagundes Varela,city,245,2,True,2741,4307864,8938.34367,0.0082
2021-04-15,RS,Farroupilha,city,5730,92,True,73061,4307906,7842.76153,0.0161
2021-04-15,RS,Faxinal do Soturno,city,388,8,True,6663,4308003,5823.20276,0.0206
2021-04-15,RS,Faxinalzinho,city,216,4,True,2284,4308052,9457.09282,0.0185
2021-04-15,RS,Fazenda Vilanova,city,275,7,True,4608,4308078,5967.88194,0.0255
2021-04-15,RS,Feliz,city,1685,18,True,13640,4308102,12353.37243,0.0107
2021-04-15,RS,Flores da Cunha,city,2668,44,True,31063,4308201,8588.99656,0.0165
2021-04-15,RS,Floriano Peixoto,city,95,1,True,1737,4308250,5469.19977,0.0105
2021-04-15,RS,Fontoura Xavier,city,601,18,True,10241,4308300,5868.56752,0.03
2021-04-15,RS,Formigueiro,city,350,5,True,6616,4308409,5290.20556,0.0143
